Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-2.24668715474809E-05,-1.58257547080611E-05,0.0374605334330578,0,0,0,0.399162910599266,0.000324848144008975,5.02496168934537E-08,-2.2819307788846E-07,0.00032521829975329,-1.86758735473255E-07,0.000486670512636318,0,0,0,0,0,0,package://plex.arm_urdf/meshes/base_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://plex.arm_urdf/meshes/base_link.STL,,base_link-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link_2,0.00211380693052461,-0.0163292010184428,0.0524617953309156,0,0,0,1.01328478920139,0.0014335374796131,-1.42034367565708E-05,7.59212417839802E-06,0.00149901585148594,0.000123243816752311,0.00141887427830969,0,0,0,0,0,0,package://plex.arm_urdf/meshes/link_2.STL,0.866666666666667,0.909803921568627,1,1,0,0,0,0,0,0,package://plex.arm_urdf/meshes/link_2.STL,,link_2-1,Origin_joint_1,Axis_joint_1,joint_1,continuous,0,0,0.0641,0,0,0,base_link,0,0,1,,,,,,,,,,,,
link_3,0.26754,0.053738,-0.031859,0,0,0,1.3505,0.0013405,4.1403E-05,0.0002258,0.0032102,-5.27E-06,0.0031982,0,0,0,0,0,0,package://plex.arm_urdf/meshes/link_3.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://plex.arm_urdf/meshes/link_3.STL,,link_3-1,Origin_joint_2,Axis_joint_2,joint_2,continuous,-0.0016216,-0.058978,0.063,0,0,0,link_2,-0.027485,-0.99962,0,,,,,,,,,,,,
link_4,0.082946,-0.041589,0.059096,0,0,0,0.53981,0.0004222,7.614E-06,-0.00010509,0.00066838,6.346E-06,0.00062584,0,0,0,0,0,0,package://plex.arm_urdf/meshes/link_4.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://plex.arm_urdf/meshes/link_4.STL,,link_4-1,Origin_joint_3,Axis_joint_3,joint_3,continuous,0.42375,0.10171,-0.050398,0,0,0,link_3,-0.027485,-0.99962,0,,,,,,,,,,,,
link_5,0.0151094033450188,-0.000660974117995889,0.237690494208005,0,0,0,0.564110995014379,0.00115592730271326,1.67194129071875E-06,-5.47681647087195E-05,0.00116861926227325,7.97231620979113E-07,0.000289359064405679,0,0,0,0,0,0,package://plex.arm_urdf/meshes/link_5.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://plex.arm_urdf/meshes/link_5.STL,,link_5-1,Origin_joint_4,Axis_joint_4,joint_4,continuous,0.096215,-0.055479,0.11335,0,0,0,link_4,0.063628,-0.0017495,0.99797,,,,,,,,,,,,
link_6,0.0373459001279738,-0.0166285861789171,0.0396973187118052,0,0,0,0.207074607999115,8.79083922357743E-05,1.49133619604232E-05,2.64731989505346E-05,0.000155579377504894,-6.0339185433965E-06,0.000127872997405193,0,0,0,0,0,0,package://plex.arm_urdf/meshes/link_6.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://plex.arm_urdf/meshes/link_6.STL,,link_6-1,Origin_joint_5,Axis_joint_5,joint_5,continuous,0.019526,-0.00053686,0.30625,0,0,0,link_5,-0.16576,-0.98613,0.00884,,,,,,,,,,,,
EE_assembly,-0.0877843844322184,0.0125121324602962,0.0407814380552561,0,0,0,0.553543107403543,0.000671410200888766,-2.95206570267268E-07,3.96900762821728E-05,0.000444631461300533,-1.41204972937008E-05,0.000759972019619152,0,0,0,0,0,0,package://plex.arm_urdf/meshes/EE_assembly.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://plex.arm_urdf/meshes/EE_assembly.STL,,EE_assembly-1,Origin_joint_6,Axis_joint_6,joint_6,continuous,0.024505,-0.0035377,0.053554,0,0,0,link_6,-0.89457,0.15413,0.41952,,,,,,,,,,,,
